name,accession_id,collection_date,location,Lineage,Institute
hCoV-19/England/QEUH-3258E1CD/2022,EPI_ISL_15301968,24/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/QEUH-3258DBA2/2022,EPI_ISL_15301988,26/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/QEUH-3258DA96/2022,EPI_ISL_15302022,26/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/QEUH-3258E0C0/2022,EPI_ISL_15302029,26/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/France/ARA-HCL022158853901/2022,EPI_ISL_15302060,21/09/2022,Europe / France / Auvergne-Rhone-Alpes,BQ.1,
hCoV-19/France/ARA-HCL022159235801/2022,EPI_ISL_15302062,22/09/2022,Europe / France / Auvergne-Rhone-Alpes,BQ.1,
hCoV-19/France/OCC-HCL722004032801/2022,EPI_ISL_15302166,19/09/2022,Europe / France / Occitanie / Tarn,BQ.1,
hCoV-19/France/NAQ-HCL722004059501/2022,EPI_ISL_15302359,26/09/2022,Europe / France / Nouvelle-Aquitaine / Landes,BQ.1,
hCoV-19/France/NAQ-HCL722004069501/2022,EPI_ISL_15302419,26/09/2022,Europe / France / Nouvelle-Aquitaine / Gironde,BQ.1,
hCoV-19/France/ARA-HCL722004077901/2022,EPI_ISL_15302477,26/09/2022,Europe / France / Auvergne-Rhone-Alpes / Rhone,BQ.1,
hCoV-19/France/ARA-HCL722004079101/2022,EPI_ISL_15302488,26/09/2022,Europe / France / Auvergne-Rhone-Alpes / Ain,BQ.1,
hCoV-19/France/ARA-HCL722004079201/2022,EPI_ISL_15302489,26/09/2022,Europe / France / Auvergne-Rhone-Alpes / Ain,BQ.1,
hCoV-19/France/ARA-HCL722004079301/2022,EPI_ISL_15302490,26/09/2022,Europe / France / Auvergne-Rhone-Alpes / Ain,BQ.1,
hCoV-19/France/ARA-HCL722004089501/2022,EPI_ISL_15302624,26/09/2022,Europe / France / Auvergne-Rhone-Alpes / Ain,BQ.1,
hCoV-19/France/ARA-HCL722004090701/2022,EPI_ISL_15302634,26/09/2022,Europe / France / Auvergne-Rhone-Alpes / Haute-Savoie,BQ.1,
hCoV-19/USA/WA-UW-22092029761/2022,EPI_ISL_15302910,20/09/2022,North America / USA / Washington,BQ.1,
hCoV-19/Sweden/SUS0015931/2022,EPI_ISL_15302984,26/09/2022,Europe / Sweden / Skane,BQ.1,
hCoV-19/England/PHEC-YYG76N7/2022,EPI_ISL_15303456,22/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG79O9/2022,EPI_ISL_15303481,27/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG7HJT/2022,EPI_ISL_15303514,18/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG98DQ/2022,EPI_ISL_15303532,24/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG9BDW/2022,EPI_ISL_15303556,22/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG9CA6/2022,EPI_ISL_15303578,24/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG9GBU/2022,EPI_ISL_15303671,23/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG9MIF/2022,EPI_ISL_15303751,2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG9NIQ/2022,EPI_ISL_15303774,25/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG9OIY/2022,EPI_ISL_15303798,26/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG9OKZ/2022,EPI_ISL_15303800,26/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG9ON8/2022,EPI_ISL_15303802,21/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG9OXP/2022,EPI_ISL_15303809,26/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEC-YYG9XTJ/2022,EPI_ISL_15303914,22/09/2022,Europe / United Kingdom / England,BQ.1,
